disease,symptoms
poisoning first aid,"weakness, skin rash or burns, headache, unconsciousness (coma), loss of bladder control, double vision, confusion, cough, unusual breath odor, difficulty breathing or shortness of breath, diarrhea, abdominal pain, chest pain, loss of appetite, dizziness, fever, drowsiness, seizures, stupor, heart palpitations, irritability, nausea and vomiting, bluish lips (cyanosis), muscle twitching, numbness and tingling"
pokeweed poisoning,"convulsions (seizures), weakness, low blood pressure, muscle spasms, slow or difficult breathing, nausea and vomiting, headache, diarrhea, sometimes hemorrhagic (bloody), stomach pain, loss of consciousness (unresponsiveness), rapid pulse"
polio,"general discomfort or uneasiness (malaise), headache, inapparent infection, paralytic, stiff and sore muscles at the back of the neck, trunk, arms, and legs, changes in muscle reaction (reflexes) as the disease progresses, difficulty swallowing, breathing that is weak, belly pain, loss of appetite, drooling, urinary problems and constipation, abortive disease, vomiting, fever for 2 to 3 days, hoarse voice, severe constipation and urinary problems, sore throat, muscle weakness, paralysis, loss of muscle tissue, nonparalytic"
polyarteritis nodosa,"unintentional weight loss, weakness, fatigue, joint aches, decreased appetite, muscle aches, abdominal pain, fever"
polycystic kidney disease,"excessive urination at night (nocturia), flank pain on one or both sides, nail abnormalities, abdominal pain or tenderness, drowsiness, blood in the urine, joint pain"
polycystic ovary syndrome,"thinning hair on the head at the temples, called male pattern baldness, irregular periods that may come and go, and be very light to very heavy, skin changes, such as dark or thick skin markings and creases around the armpits, groin, neck, and breasts, extra body hair that grows on the chest, belly, face, and around the nipples, decrease in breast size, enlargement of the clitoris, acne on the face, chest, or back, not getting a period after you have had one or more normal ones during puberty (secondary amenorrhea), deepening of the voice"
polycythemia - newborn,"feeding problems, extreme sleepiness"
polymorphous light eruption,"itching or burning of the affected skin, small bumps (papules) or blisters, swelling, or even blisters (not often seen), redness or scaling of the skin"
polymyositis - adult,"muscle weakness in the shoulders and hips. this can make it hard to raise the arms over the head, get up from a sitting position, or climb stairs., morning stiffness, difficulty swallowing., loss of appetite, muscle pain., skin rash on the back of the fingers, on the eyelids, or on the face, fatigue, problems with the voice (caused by weak throat muscles)., shortness of breath., weight loss, fever, joint pain"
post-traumatic stress disorder,"emotional numbing or feeling as though you do not care about anything, always scanning your surroundings for signs of danger (hypervigilance), headache, feeling detached, feeling your heart beat in your chest, feeling irritable or having outbursts of anger, loss of interest in activities or other people, repeated nightmares of the event, avoiding places, people, or thoughts that remind you of the event, fainting, showing less of your moods, flashback episodes in which the event seems to be happening again and again, blaming others for the event, constant guilt about the event, including survivor guilt, dizziness, not being able to recall important parts of the event, startling easily, agitation or excitability, repeated upsetting memories of the event, trouble falling or staying asleep, not able to concentrate, not interested in normal activities, feeling like you have no future, not able to remember important parts of the event, strong, uncomfortable reactions to situations that remind you of the event"
posterior fossa tumor,"vomiting, hearing loss, face muscle weakness, dilated pupils, unsteadiness when walking, uncoordinated walk (ataxia), headache, imbalance, eye problems, taste problems, nausea, loss of feeling in part of the face, drowsiness, vision problems"
poststreptococcal glomerulonephritis (gn),"swelling (edema), general swelling, swelling of the abdomen, swelling of the face or eyes, swelling of the feet, ankles, hands, joint stiffness or swelling, rust-colored urine, visible blood in the urine, decreased urine output, joint pain"
potassium carbonate poisoning,"burning, vision loss, chest pain, severe pain, vomiting, often bloody, throat swelling, which leads to difficulty breathing, rapid drop in blood pressure (shock), burns and severe pain in the mouth and throat, drooling, diarrhea, severe abdominal pain"
potassium hydroxide poisoning,"burning, vision loss, chest pain, severe pain, vomiting, often bloody, throat swelling, which leads to difficulty breathing, rapid drop in blood pressure (shock), burns and severe pain in the mouth and throat, drooling, diarrhea, severe abdominal pain"
potato plant poisoning - green tubers and sprouts,"paralysis, hallucinations, slowed breathing, lower than normal body temperature (hypothermia), delirium (agitation and confusion), headache, nausea and vomiting, vision changes, shock, loss of sensation, abdominal or stomach pain, diarrhea, dilated (wide) pupils, slow pulse, fever"
potter syndrome,"difficulty breathing, absence of urine output, widely separated eyes with epicanthal folds, broad nasal bridge, low set ears, and receding chin"
pregnancy and herpes,"breathing difficulties such as rapid breathing and short periods without breathing, which can lead to nostril flaring, grunting, or blue appearance, there may or may not be blisters on the skin, severe brain damage, weakness, skin sores, fluid-filled blisters, skin sores (lesions), yellow skin and whites of the eyes, low body temperature (hypothermia), seizures, shock, orâ coma, poor feeding, eye disease, such as inflammation of the retina (chorioretinitis), herpes infection in the brain is called herpes encephalitis, bleeding easily, the liver, lungs, and kidneys may also be involved"
premature ovarian failure,"night sweats, mood swings, vaginal dryness, hot flashes, irregular or absent periods"
premenstrual dysphoric disorder,"bloating, breast tenderness, headaches, and joint or muscle pain, problems sleeping, sadness or hopelessness, possibly thoughts of suicide, food cravings or binge eating, lack ofâ interest in daily activities and relationships, anxiety, out of control feeling, fatigue or low energy, trouble concentrating, panic attacks, irritability or anger that affects other people, mood swings sometimes with bouts of crying"
premenstrual syndrome,"breast tenderness, feelings of sadness, depression, or hopelessness, bloating or feeling gassy, irritable, hostile, or aggressive behavior, with outbursts of anger toward self or others, less tolerance for noises and lights, mood swings, poor judgment, clumsiness, fatigue and feeling slow or sluggish, food cravings, headache, loss of sex drive (may increase in some women), constipation or diarrhea, feelings of tension, anxiety, or edginess, sleep problems (sleeping too much or too little), poor self-image, feelings of guilt, or increased fears, confusion, trouble concentrating, or forgetfulness"
premenstrual syndrome - self-care,"at what point during your cycle your symptoms occur, how long your symptoms last, how severe your symptoms are, the type of symptoms you are having, whether your symptoms respond to a treatment you tried"
prerenal azotemia,"dry mouth due to thirst, pale skin color, fatigue, swelling, fast pulse, decreased or no urine production, confusion"
preterm labor,"fluid that leaks from your vagina in a trickle or a gush, contractions with lower back pain or pressure in your groin or thighs, your water breaks (ruptured membranes), bright red bleeding from your vagina, a thick, mucous-filled discharge from your vagina with blood in it, more than 5 contractions per hour, or contractions that are regular and painful, spotting or cramps in your abdomen, contractions that get longer, stronger, and closer together"
primary alveolar hypoventilation,"bluish coloration of the skin caused by lack of oxygen (cyanosis), daytime drowsiness, fatigue, swelling of the ankles, waking up from sleep unrested, morning headaches, waking up many times at night"
primary amyloidosis,"decreased urine output, weakness, numbness of hands or feet, weak hand grip, swallowing problems, shortness of breath, fatigue, swollen tongue, weight loss or weight gain, hoarseness or changing voice, skin changes, diarrhea, swelling in the arms and legs, abnormal heart rhythm, joint pain"
primary and secondary hyperaldosteronism,"numbness, feeling tired all the time, low level of potassium in the blood, headache, high blood pressure, muscle weakness"
primary lymphoma of the brain,"headaches, nausea, or vomiting, changes in speech or vision, numbness to hot, cold, and pain, personality changes, weakness in hands or loss of coordination, confusion or hallucinations, weight loss, seizures, leaning to one side when walking"
prochlorperazine overdose,"shallow breathing, weakness, constipation, restlessness linked with repeated foot shuffling, rocking, or pacing, rapid heartbeat, rash, muscle stiffness, inability to completely empty the bladder, sores in the mouth, on the tongue or in the throat, dry mouth, changes in menstrual patterns, tremor, motor tics that the person cannot control, difficulty swallowing, low blood pressure (severe), convulsions (seizures), uncoordinated movement, slow movement, or shuffling (with long-term use or overuse), blurred vision, pounding heartbeat, nasal congestion, drooling, loss of appetite, agitation, irritability, confusion, rapid breathing, rapid, involuntary movements of the face (chewing, blinking, grimaces, and tongue movements), fever, yellow eyes due to jaundice, skin color changes, drowsiness, nausea, low body temperature, difficult or slow urination, muscle spasms, no breathing, disorientation, coma, sun sensitivity, rapid sunburn, small or large pupils"
progressive multifocal leukoencephalopathy,"personality changes, loss of language ability (aphasia), loss of coordination, clumsiness, weakness of the legs and arms that gets worse, memory loss, vision problems"
promethazine overdose,"restlessness, including inability to sit still and involuntary repetitive movements, dry mouth, large (dilated) pupils with vision difficulty, muscle stiffness and spasms in face or neck, weakness from low blood pressure, agitation, nervousness, confusion, excitation, disorientation, hallucinations, involuntary tongue movement, flushed skin, unsteadiness, rapid heartbeat, depression, tremor (unintentional trembling), urinary hesitancy, drowsiness orâ comaâ (lack of responsiveness), inability to urinate, seizures, fever"
propane poisoning,"nervousness, weakness, general weakness, cough, burning sensation, skin irritation, dizziness, heartbeat -- irregular, headache, loss of consciousness (coma, or unresponsiveness), lightheadedness, convulsions, nausea and vomiting, heartbeat -- rapid, diarrhea, pain and numbness in arms and legs, slow and shallow breathing, fever"
propoxyphene overdose,"anxiety and restlessness, heart rhythm disturbances, rash, pinpoint pupils, rapid heart rate, confusion, coma (lack of responsiveness), jaundice (turning yellow), breathing slow, labored, or shallow, diarrhea, hearing loss, cyanosis (blue fingernails or lips), weak pulse, muscle damage from being immobile while in a coma, muscle spasticity, spasms of the stomach or intestines (abdominal cramps), drowsiness, seizures, goose bumps, vomiting, nausea, vomiting, low blood pressure, no breathing"
propyl alcohol,"slurred speech, stupor (decreased level of alertness and confusion), low urine output, dizziness, decreased or absent reflexes, headache, coma (lack of responsiveness), slowed or labored breathing, difficulty breathing, lethargy (tiredness), nausea and vomiting, low blood pressure (a sign of serious poisoning with increased risk of death), vomiting blood, uncoordinated movements, abdominal pain"
prostatitis - bacterial,"pain with ejaculation or blood in the semen, lower stomach tenderness, weak urine stream, burning or pain with urination, chills, body aches, pain or aching in the abdomen above the pubic bone, in the lower back, in the area between the genitals and anus, or in the testicles, pain with bowel movements, blood in the urine, fever, difficulty starting to urinate or emptying the bladder, flushing of the skin, foul-smelling urine"
prostatitis - bacterial - self-care,"try stool softeners or fiber supplements., eat foods with high fiber, such as whole grains, fruits, and vegetables., get some exercise every day. start slowly and build up at least 30 minutes a day."
prostatitis - nonbacterial,"blood in the semen, problems with urinating, pain with bowel movements, pain with ejaculation, pain in the genital area and lower back, blood in the urine"
prothrombin deficiency,"heavy menstrual bleeding, bruising easily, bleeding after trauma, umbilical cord bleeding after birth, abnormal bleeding after childbirth, nosebleeds that do not stop easily, bleeding after surgery"
provisional tic disorder,"clicking, brief and jerky movements that include blinking, clenching the fists, jerking the arms, kicking, raising the eyebrows, sticking out the tongue, throat clearing, squealing, an overwhelming urge to make the movement, hissing, snorting, sniffing, grunting, movements that occur again and again and do not have a rhythm, moaning"
psychosis,"false beliefs that are not based on reality (delusions), especially unfounded fear or suspicion, thoughts that ""jump"" between unrelated topics (disordered thinking), hearing, seeing, or feeling things that are not there (hallucinations), disorganized thought and speech"
pubic lice,"sores in the genital area due to bites and scratching, local skin reactions to the bites that cause the skin to turn red or bluish-gray"
pulmonary aspergilloma,"unintentional weight loss, chest pain, cough, coughing up blood, which can be a life-threatening sign, fatigue, fever"
pulmonary embolus,"feeling anxious, often gets worse with deep breathing, leg pain, redness, or swelling, dizziness, lightheadedness, or fainting, you may bend over or hold your chest in response to the pain, burning, aching, or a dull, heavy sensation, low oxygen level in blood (hypoxemia), low blood pressure, sharp or stabbing, fast heart rate, under the breastbone or on one side, fast breathing or wheezing, bluish skin (cyanosis) -- less common, shortness of breath that starts suddenly during sleep or on exertion, sudden cough, possibly coughing up blood or bloody mucus, low grade fever"
pulmonary hypertension,"weakness, dizziness or fainting spells, bluish color of the lips or skin (cyanosis), increased abdominal size, fatigue, ankle and leg swelling, chest pain or pressure, most often in the front of the chest"
pulmonary tuberculosis,"chest pain, breathing difficulty, excessive sweating, particularly at night, fatigue, wheezing, weight loss, fever, coughing up blood, cough (usually with mucus)"
pulmonary veno-occlusive disease,"dry cough, shortness of breath, fatigue on exertion, fainting, coughing up blood, difficulty breathing while lying flat"
pulmonic valve stenosis,"chest pain, sudden death, abdominal distention, shortness of breath, fatigue, bluish color to the skin (cyanosis) in some people, poor appetite, fainting, poor weight gain or failure to thrive in infants with a severe blockage"
pyloric stenosis in infants,"vomiting may occur after every feeding or only after some feedings., the infant is hungry after vomiting and wants to feed again., constant hunger, burping, dehydration (gets worse as vomiting gets worse), wave-like motion of the abdomen shortly after feeding and just before vomiting occurs, vomiting usually starts around 3 weeks of age, but may start any time between 1 week and 5 months of age., failure to gain weight or weight loss, vomiting is forceful (projectile vomiting)., abdominal pain"
pyogenic liver abscess,"unintentional weight loss, dark urine, weakness, nausea, vomiting, yellow skin (jaundice), chest pain (lower right), loss of appetite, pain in the right upper abdomen (more common) or throughout the abdomen (less common), clay-colored stools, fever, chills, night sweats, right shoulder pain (referred pain)"
radial nerve dysfunction,"weakness, loss of coordination of the fingers, abnormal sensations in the back and thumb side of the hand, or in the thumb, 2nd, and 3rd fingers, problem bending the hand back at the wrist, or holding the hand, problem straightening the arm at the elbow, pain, numbness, decreased sensation, tingling, or burning sensation in the areas controlled by the nerve"
ramsay hunt syndrome,"severe pain in the ear, sensation of things spinning (vertigo), hearing loss on one side, weakness on one side of the face that causes difficulty closing one eye, eating (food falls out of the weak corner of the mouth), making expressions, and making fine movements of the face, as well as facial droop and paralysis on one side of the face, painful rash on the eardrum, ear canal, earlobe, tongue, and roof of the mouth on the side with the affected nerve"
raynaud phenomenon,"when blood flow returns, the area becomes red and then later returns to normal color., first, the affected areas become white, and then turn blue. fingers are most commonly involved, but toes, ears, lips or the nose can also change color as well., the attacks may last from minutes to hours."
reactive attachment disorder of infancy or early childhood,"avoiding physical contact, needs like food, toileting, and play, not making distinctions when socializing with strangers, avoiding caregiver, wanting to be alone rather than interacting with others, needs for comfort, stimulation, and affection, difficulty being comforted"
recognizing teen depression,"sad or blue feelings most of the time., complaints of headaches, stomach aches or other body problems. your teen may go to the nurse's office at school a lot., drinking or using drugs, more sensitive to criticism., attention deficit hyperactivity disorder (adhd), frequent irritability with sudden bursts of anger., bipolar disorder, not enjoying activities they usually like., pulling away from family and friends and spends more time alone, trouble sleeping or is sleeping more than normal, high-risk behaviors, such as reckless driving, unsafe sex, or shoplifting, drop in school grades, attendance, not doing homework, feeling tired for much of the day., a hard time concentrating, a change in eating habits, such as not being hungry or eating more than usual, anxiety disorders, withdrawal from people like parents or some friends., problems making decisions, eating disorders (bulimia or anorexia)"
red birthmarks,"skin rash or lesion that is red, marks on the skin that look like blood vessels"
refrigerant poisoning,"vomiting, burns of the food pipe (esophagus), burn, breathing difficulty, irritation, severe pain in the throat, necrosis (holes) in the skin or underlying tissues, throat swelling (which may also cause breathing difficulty), irregular heart rhythms, loss of vision, severe pain or burning in the nose, eyes, ears, lips, or tongue, blood in the stool, vomiting blood, severe abdominal pain, collapse"
renal papillary necrosis,"fever and chills, urinating often at night, bloody, cloudy, or dark urine, urinary incontinence, urinating large amounts, painful urination, tissue pieces in the urine, needing to urinate more often than usual (frequent urination) or a sudden, strong urge to urinate (urgency), difficulty starting or maintaining a urine stream (urinary hesitancy), back pain or flank pain"
renal pelvis or ureter cancer,"burning, pain, or discomfort with urination, flank pain, loss of appetite, fatigue, urinary frequency or urgency, anemia, constant back pain, unexplained weight lossâ, blood in the urine"
respiratory syncytial virus (rsv),"whistling sound (wheezing), bluish skin color due to a lack of oxygen (cyanosis) in more severe cases, nasal flaring, older children most often have only mild, cold-like symptoms, such as a barking cough, stuffy nose, or low-grade fever., rapid breathing (tachypnea), breathing difficulty or labored breathing, they usually appear 2 to 8 days after coming in contact with the virus."
restless legs syndrome,"are relieved when you move or stretch as long as you keep moving, bubbling, pulling, or tugging, aching, throbbing, or pain, sometimes also occur in the upper legs, feet, or arms, daytime sleepiness, tingling, pins and needles in the feet, difficulty thinking clearly, are worse at night when you lie down to the point that it may interfere with sleep and keep you awake, itching or gnawing, creeping and crawling, start or get worse when you lie down or sit for long periods of time, anxiety or depression, may last for 1 hour or longer, burning or searing, confusion, sometimes occur during the day"
retinal detachment,"shadowing or decreased peripheral vision that seems like a curtain or shade across your vision., bright flashes of light, especially in peripheral vision., blurred vision., new floaters in the eye that appear suddenly."
retinopathy of prematurity,"crossed eyes, stage ii: blood vessel growth is moderately abnormal., abnormal eye movements, stage i: there is mildly abnormal blood vessel growth., stage v: there is a total retinal detachment., white-looking pupils (leukocoria), stage iii: blood vessel growth is severely abnormal., stage iv: blood vessel growth is severely abnormal and there is a partially detached retina., severe nearsightedness"
retrograde ejaculation,"little or no semen is released during ejaculation, cloudy urine after orgasm"
retroperitoneal inflammation,"malaise, flank pain, low back pain, anorexia, abdominal pain"
rett syndrome,"severe language development problems., ongoing, severe constipation and gastroesophageal reflux (gerd)., breathing problems, which may get worse with stress. breathing is usually normal during sleep and abnormal while awake., change in development., seizures., excessive saliva and drooling., intellectual disabilities and learning difficulties., loss of social engagement., shaky, unsteady, stiff gait or toe walking., loss of purposeful hand movements: for example, the grasp used to pick up small objects is replaced by repetitive hand motions like hand wringing or constant placement of hands in mouth., poor circulation that can lead to cold and bluish arms and legs., slowing head growth beginning at 5 to 6 months of age., scoliosis., loss of normal sleep patterns., floppy arms and legs, which is frequently the first sign."
reye syndrome,"weakness in the arms or legs, speech difficulties, hearing loss, mental changes, unusual placement of arms and legs (decerebrate posture). the arms are extended straight and turned toward the body, the legs are held straight, and the toes are pointed downward, nausea and vomiting, muscle function loss or paralysis of the arms or legs, double vision, loss of consciousness or coma"
rheumatoid lung disease,"chest pain, cough, skin nodules, shortness of breath, joint pain, stiffness, and swelling, fever"
rheumatoid pneumoconiosis,"joint swelling and pain, cough, lumps under the skin (rheumatoid nodules), shortness of breath, wheezing"
rhubarb leaves poisoning,"increased saliva production, burning in mouth and throat, weakness, coma (unconsciousness, lack of responsiveness), breathing difficulty, hoarse voice, seizures (convulsions), nausea and vomiting, stomach pain, kidney stones (flank and back pain), blisters in the mouth, diarrhea, red-colored urine"
ringworm of the scalp,"are bald with small black dots due to hair that has broken off, may be very itchy, have round, scaly areas of skin that are red or swollen (inflamed), may have pus-filled sores called kerions"
rocky mountain spotted fever,"hallucinations, light sensitivity, loss of appetite, muscle pain, rash -- usually starts a few days after the fever; first appears on wrists and ankles as spots that are 1 to 5 mm in diameter, then spreads to most of the body. some infected people don't get a rash., nausea and vomiting, headache, chills and fever, thirst, diarrhea, confusion, abdominal pain"
roseola,"starts on the middle of the body and spreads to the arms, legs, neck, and face, high fever, that comes on quickly and may be as high as 105â°f (40.5â°c) and can last 3 to 7 days, eye redness, has small sores that are slightly raised, irritability, sore throat, runny nose, is pink or rose-colored"
rubber cement poisoning,"abdominal pain, convulsions (seizures), vision loss, breathing difficulty (from inhalation), unconsciousness (lack of responsiveness), burning in the nose, lips, throat, or eyes, nerve problems, irritation, muscle spasms, change in the acid balance of the blood, which can lead to organ damage, throat swelling (which may also cause breathing difficulty), headache, dizziness, nausea and vomiting, unsteady walk, low blood pressure (shock), collapse"
rubinstein-taybi syndrome,"constipation, microcephaly (excessively small head), drooping eyelid (ptosis), undescended testicle (cryptorchidism), or other testicular problems, short stature that is noticeable after birth, narrow, small, or recessed mouth with crowded teeth, excess hair on body (hirsutism), cataracts, unsteady or stiff walking gait, slow development of cognitive skills, intellectual disability, thick and arched eyebrows with long eyelashes, heart defects, possibly requiring surgery, an underdeveloped bone in the midface, slow development of motor skills accompanied by low muscle tone, low-set ears or malformed ears, seizures, downward-slanted eyes, coloboma (a defect in the iris of the eye), prominent or ""beaked"" nose, absent or extra kidney, and other problems with kidney or bladder, broadening of the thumbs and big toes"
rumination disorder,"repeatedly rechewing food, repeatedly bringing up (regurgitating) food"
ruptured eardrum,"drainage from the ear (drainage may be clear, pus, or bloody), hearing loss in the involved ear (hearing loss may not be total), weakness of the face, or dizziness (in severe cases), ear noise/buzzing, earache or ear discomfort"
russell-silver syndrome,"all or part of one side of the body is smaller than the other side (asymmetry), failure to thrive, including delayed bone age, stomach and intestine problems such as acid reflux and constipation, short height, short arms, stubby fingers and toes, birthmarks that are the color of coffee with milk (cafe-au-lait marks), large head for body size, wide projecting forehead with a small triangle-shaped face and small, narrow chin, curving of the pinky toward the ring finger, low birth weight"
sachet poisoning,"shallow breathing, eye irritation, difficulty swallowing, nausea and vomiting, stomach pain, rapid breathing, throat irritation, diarrhea"
sacroiliac joint pain - aftercare,"massage the muscles in the lower back, buttocks, and thigh., take pain medicines as instructed., use a heating pad on the low setting to help loosen tight muscles and relieve soreness., ice your lower back or upper buttocks for about 20 minutes 2 to 3 times a day. do not apply ice directly to the skin., rest. keep activity to a minimum and stop movements or activity that worsen the pain., do not take more than the amount recommended on the bottle or by your provider., talk with your provider before using these medicines if you have heart disease, high blood pressure, kidney disease, or have had stomach ulcers or internal bleeding in the past."
salivary duct stones,"pain in the face or mouth, dry mouth, swelling of the face or neck (can be severe when eating or drinking), problems opening the mouth or swallowing"
salivary gland infections,"dry mouth, redness over the side of the face or the upper neck, swelling of the face (particularly in front of the ears, below the jaw, or on the floor of the mouth), decreased ability to open the mouth, mouth or facial ""squeezing"" pain, especially when eating, abnormal tastes, foul tastes, fever"
salivary gland tumors,"difficulty moving one side of the face, known as facial nerve palsy., firm, usually painless swelling in one of the salivary glands (in front of the ears, under the chin, or on the floor of the mouth). the swelling gradually increases."
salmonella enterocolitis,"abdominal pain, cramping, or tenderness, vomiting, chills, muscle pain, diarrhea, nausea, fever"
sassafras oil overdose,"abdominal pain, shallow breathing, burns (if the oil is on the skin), hallucinations, vomiting, low blood pressure, dizziness, rapid heartbeat, rapid breathing, pounding heartbeat (palpitations), diarrhea, nausea, unconsciousness"
scalded skin syndrome,"skin slips off with gentle pressure, leaving wet red areas (nikolsky sign), blisters, redness of the skin (erythema), which spreads to cover most of the body, large areas of skin peel or fall away (exfoliation or desquamation), fever, painful skin"
schizoid personality disorder,"appears distant and detached, does not want or enjoy close relationships, even with family members, avoids social activities that involve emotional closeness with other people"
schizotypal personality disorder,"odd beliefs, fantasies, or preoccupations, discomfort in social situations, odd speech, inappropriate displays of feelings, odd behavior or appearance, no close friends"
scleredema diabeticorum,"lesions occur on the same areas on both sides of the body (symmetrical)., reddish, painless lesions., thick, hard skin that feels smooth. you cannot pinch the skin over the upper back or neck."
sclerosing cholangitis,"itching, enlarged spleen, fatigue, enlarged liver, yellowing of the skin and eyes (jaundice), loss of appetite and weight loss, repeat episodes of cholangitis (an infection of the bile duct that causes fever, jaundice and pain in the right upper abdomen)"
scorpion fish sting,"headache, tremors (shaking), low blood pressure and weakness, delirium (agitation and confusion), severe pain at the site of the sting. pain can quickly spread to the entire limb., skin color changes as the amount of oxygen supplying the area decreases., anxiety, diarrhea, fainting, abdominal pain, fever (from infection), difficulty breathing, bleeding., seizures, numbness and tingling spreading out from the site of the sting, lighter color of the area around the site of the sting., nausea and vomiting, collapse (shock), muscle twitching, paralysis, irregular heartbeat"
scorpions,"inability to hold in stool, spasm of the larynx (voice box), sweating, double vision, increased or decreased heart rate, abdominal cramps, anxiety, random movements of the head, eye, or neck, inability to hold in urine, convulsions (seizures), tongue that feels thick, drooling, difficulty breathing, rapid breathing, heightened sensitivity to touch in the area of the sting, restlessness, muscle spasms, nausea and vomiting, no breathing, stiffness, itching of the nose and throat, decreased urine output, paralysis, irregular heartbeat"
scrotal masses,"enlarged scrotum, painless or painful testicle lump"
seasonal affective disorder,"unhappiness and irritability, sluggish movements, increased sleep (too little sleep is more common with other forms of depression), hopelessness, social withdrawal, loss of interest in work or other activities, less energy and ability to concentrate, increased appetite with weight gain (weight loss is more common with other forms of depression)"
secobarbital overdose,"slurred speech, drowsiness, tiredness, fainting, weakness, uncoordinated movement, staggering gait (ataxia, seen commonly in children), shock (extremely low blood pressure), dizziness, slowed or absent breathing, coma (decreased level of consciousness and lack of responsiveness), blurred or double vision, rapid side-to-side movement of eyes (nystagmus), stupor (decreased level of alertness), nausea, muscle and skin damage (discoloration, blisters, ulcers) from lying on a hard surface while stuporous or in a coma, rash or blisters, confusion"
secondary parkinsonism,"tremor, soft voice, loss or weakness of movement (paralysis), decrease in facial expressions, stiffness of the trunk, arms, or legs, difficulty starting and controlling movement"
selective deficiency of iga,"chronic diarrhea, mouth infection, upper respiratory tract infections, conjunctivitis (eye infection), bronchitis (airway infection), otitis media (middle ear infection), asthma without a known cause, bronchiectasis (a disease in which the bronchial tubes in the lungs become damaged and enlarged), gastrointestinal inflammation, including ulcerative colitis, crohn disease, and a sprue-like illness, skin infections, sinusitis (sinus infection), pneumonia (lung infection)"
selective mutism,"inability to speak in certain social situations, fear or anxiety around people they do not know well, shyness, ability to speak at home with family"
sensorimotor polyneuropathy,"difficulty walking, decreased feeling in any area of the body, pain, burning, tingling, or abnormal feeling in any area of the body (called neuralgia), difficulty using the legs or feet, difficulty using the arms or hands, occasional falls due to lack of balance and not feeling the ground under your feet, difficulty swallowing or breathing, weakness of the face, arms, or legs, or any area of the body"
separation anxiety in children,"reluctance to go to school or other places because of fear of separation, worry about losing, or harm coming to the primary caregiver, repeated physical complaints, reluctance to go to sleep without the primary caregiver nearby, excessive distress when separated from the primary caregiver, nightmares"
septic arthritis,"crying when infected joint is moved (for example, during diaper changes), joint swelling, fussiness, joint redness, not able to move the limb with the infected joint (pseudoparalysis), fever, severe joint pain"
serotonin syndrome,"rapid changes in blood pressure, hallucinations, abnormal eye movements, fast heartbeat and high blood pressure, nausea and vomiting, increased body temperature, overactive reflexes, loss of coordination, diarrhea, agitation or restlessness"
sertoli-leydig cell tumor,"facial hair, loss in breast size, enlarged clitoris, a deep voice, stopping of menstrual periods"
shaken baby syndrome,"convulsions (seizures), vomiting, lethargy, sleepiness, not smiling, pale or bluish skin, poor feeding, lack of appetite, loss of vision, loss of consciousness, no breathing, decreased alertness, extreme irritability or other changes in behavior"
shampoo - swallowing,"diarrhea, vomiting"
shaving cream poisoning,"blurred vision, vomiting, breathing difficulty, stomach pain, rash, burning pain in the throat, burns to the eye, diarrhea (watery, bloody)"
sheehan syndrome,"low blood pressure, inability to breastfeed (breast milk never ""comes in""), fatigue, loss of pubic and armpit (axillary) hair, lack of menstrual bleeding"
shellac poisoning,"weakness, headache, leg cramps, rapid, shallow breathing, kidney failure, fluid in the lungs, severe change of acid level in the blood, which can cause organ failure, diarrhea, blindness, blood in the lungs, blurred vision, dizziness, nausea, blue-colored skin, lips, or fingernails, wide pupils, vomiting, low blood pressure, seizures (convulsions), fatigue, coma (decreased level of consciousness and lack of responsiveness), stopped breathing, collapse"
shin splints - self-care,"pain in one or both legs, pain when you push on your shins, sharp or dull, aching pain in the front of your shin, pain that gets better with rest, pain that gets worse during and after exercise"
shingles,"the rash usually involves a narrow area from the spine around to the front of the abdomen or chest., general ill feeling, fever and chills, the blisters break, forming small sores that begin to dry and form crusts. the crusts fall off in 2 to 3 weeks. scarring is rare., hearing loss, the rash may instead involve the face, eyes, mouth, and ears., drooping eyelid (ptosis), headache, vision problems, swollen glands (lymph nodes), loss of eye motion, taste problems, difficulty moving some of the muscles in the face, joint pain"
silent thyroiditis,"dry skin, heat intolerance, constipation, fatigue, feeling weak, increased sweating, fatigue, increased appetite, cold intolerance, frequent bowel movements, irregular menstrual periods, muscle cramps, weight loss, mood changes, such as irritability, nervousness, restlessness, palpitations, weight gain"
sinusitis in adults - aftercare,"very hot or very cold temperatures or sudden changes in temperature, inhale steam 2 to 4 times a day. one way to do this is to sit in the bathroom with the shower running. do not inhale hot steam., spray with nasal saline several times per day., flying when you are congested, bending forward with your head down, apply a warm, moist washcloth to your face several times a day."
sjogren syndrome,"teeth decay and gum inflammation, numbness and pain due to neuropathy, feeling that something is in the eye, burning sensation in eyes, swollen glands, loss of sense of taste, change in the color of hands or feetâ with cold exposure (raynaud phenomenon), skin rash, cough and shortness of breath due to lung disease, nausea and heartburn, joint pain or joint swelling, thick or stringy saliva, hoarseness, difficulty swallowing or eating dry foods, irregular heartbeatâ, fever, problems speaking, mouth sores or pain, fatigue, vaginal dryness or painful urination, itching eyes"
skier's thumb - aftercare,"do not put the bag of ice directly on your skin. cold from the ice can damage your skin., ice your thumb for about 20 minutes every hour while awake for the first 48 hours, then 2 to 3 times a day., if you have heart disease, high blood pressure, kidney disease, liver disease, or have had stomach ulcers or bleeding, talk with your provider before using these medicines., do not take more than the amount recommended on the bottle or more than your provider advises you to take."
skin lesion of blastomycosis,"they may vary from gray to violet in color., they may look like warts or ulcers., form ulcers, bleed easily, they are usually painless., occur in the nose or mouth"
